,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,BROKER INFO,ALL INFO,LIST INFO,BOUGHT INFO,ALL INFO CLEAN,LIST INFO CLEAN,BOUGHT INFO CLEAN,LIST AGENTS,LIST COMPANIES,BOUGHT AGENTS,BOUGHT COMPANIES
740,PAST SALE,,Condo/Co-op,117 Lyon St,San Francisco,CA,94117,4500000.0,3.0,3.0,,2526.0,,1979.0,,1781.0,,,,,https://www.redfin.com/CA/San-Francisco/117-Lyon-St-94117/home/1772011,,,N,Y,37.7720242,-122.4425031,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
741,PAST SALE,March-28-2022,Condo/Co-op,2 Fallon Pl #55,San Francisco,CA,94133,1650000.0,2.0,2.0,San Francisco,1128.0,21923.0,1980.0,,1463.0,1163.0,Sold,,,https://www.redfin.com/CA/San-Francisco/2-Fallon-Pl-94133/unit-55/home/1837852,San Francisco MLS,422636370,N,Y,37.797786,-122.4132891,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
742,PAST SALE,April-4-2022,Condo/Co-op,852 Guerrero St,San Francisco,CA,94110,2051000.0,3.0,1.0,San Francisco,1365.0,1949.0,1907.0,,1503.0,550.0,Sold,,,https://www.redfin.com/CA/San-Francisco/852-Guerrero-St-94110/home/12277253,San Francisco MLS,422632622,N,Y,37.7574333,-122.4237015,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
743,PAST SALE,May-26-2022,Single Family Residential,1631 26th Ave,San Francisco,CA,94122,2550000.0,4.0,3.0,San Francisco,1935.0,3000.0,1933.0,,1318.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/1631-26th-Ave-94122/home/1420625,San Francisco MLS,422653744,N,Y,37.7570232,-122.4844601,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
744,PAST SALE,February-8-2023,Condo/Co-op,2655 Bush St #328,San Francisco,CA,94115,1350000.0,2.0,2.0,San Francisco,1075.0,33520.0,2017.0,,1256.0,961.0,Sold,,,https://www.redfin.com/CA/San-Francisco/2655-Bush-St-94115/unit-328/home/109240359,BAREIS,423717018,N,Y,37.7860549,-122.4402246,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
745,PAST SALE,June-10-2022,Single Family Residential,204 Russia Ave,San Francisco,CA,94112,2000000.0,3.0,3.5,San Francisco,2344.0,2495.0,1909.0,,853.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/204-Russia-Ave-94112/home/2011726,San Francisco MLS,422658563,N,Y,37.7205709,-122.4354146,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
746,PAST SALE,April-11-2022,Single Family Residential,2525 22nd Ave,San Francisco,CA,94116,2130000.0,3.0,1.5,San Francisco,1790.0,3598.0,1925.0,,1190.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/2525-22nd-Ave-94116/home/1437238,San Francisco MLS,422636281,N,Y,37.7405654,-122.4791196,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
747,PAST SALE,March-24-2022,Single Family Residential,2100 15th Ave,San Francisco,CA,94116,1750000.0,3.0,2.0,SAN FRANCISCO,1321.0,6281.0,1945.0,,1325.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/2100-15th-Ave-94116/home/1819602,MLSListings,ML81879625,N,Y,37.7486649,-122.4715578,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
748,PAST SALE,March-15-2023,Single Family Residential,1587 Revere Ave,San Francisco,CA,94124,855000.0,4.0,2.0,Bayview,1258.0,2495.0,1932.0,,680.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/1587-Revere-Ave-94124/home/1166908,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41018372,N,Y,37.7313782,-122.3900519,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
749,PAST SALE,June-3-2022,Condo/Co-op,160 Hancock St #3,San Francisco,CA,94114,3000000.0,3.0,3.0,San Francisco,2425.0,,2003.0,,1237.0,525.0,Sold,,,https://www.redfin.com/CA/San-Francisco/160-Hancock-St-94114/unit-3/home/1552660,San Francisco MLS,422655347,N,Y,37.7604501,-122.4319239,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
750,PAST SALE,June-13-2022,Single Family Residential,2563 46th Ave,San Francisco,CA,94116,1430000.0,2.0,1.0,San Francisco,1044.0,3000.0,1944.0,,1370.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/2563-46th-Ave-94116/home/2036691,San Francisco MLS,422645213,N,Y,37.7387198,-122.5046698,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
751,PAST SALE,June-1-2022,Single Family Residential,2670 San Jose Ave,San Francisco,CA,94112,1300000.0,3.0,1.0,San Francisco,1288.0,2500.0,1949.0,,1009.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/2670-San-Jose-Ave-94112/home/827467,San Francisco MLS,422644021,N,Y,37.7147971,-122.4518216,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
752,PAST SALE,October-24-2022,Single Family Residential,1639 46th Ave,San Francisco,CA,94122,1325000.0,2.0,1.0,San Francisco,850.0,3000.0,1941.0,,1559.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/1639-46th-Ave-94122/home/636387,San Francisco MLS,422696345,N,Y,37.7559291,-122.5058247,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
753,PAST SALE,July-21-2022,Single Family Residential,1039 Kirkham St,San Francisco,CA,94122,2500000.0,3.0,2.5,San Francisco,2042.0,2614.0,1949.0,,1224.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/1039-Kirkham-St-94122/home/912657,San Francisco MLS,422671349,N,Y,37.7598794,-122.4721345,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
754,PAST SALE,February-13-2023,Condo/Co-op,29 Megan Dr,San Francisco,CA,94134,900000.0,2.0,2.5,Little Hollywood,1210.0,,2008.0,,744.0,235.0,Sold,,,https://www.redfin.com/CA/San-Francisco/29-Megan-Dr-94134/home/40457120,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41016831,N,Y,37.7139607,-122.3984903,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
755,PAST SALE,August-17-2022,Single Family Residential,1727 43rd Ave,San Francisco,CA,94122,1357500.0,3.0,1.0,San Francisco,1200.0,2996.0,1945.0,,1131.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/1727-43rd-Ave-94122/home/971788,San Francisco MLS,422679746,N,Y,37.7544077,-122.5025533,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
756,PAST SALE,October-21-2022,Condo/Co-op,255 Berry St #506,San Francisco,CA,94158,1300000.0,2.0,2.0,San Francisco,1293.0,42959.0,2004.0,,1005.0,890.0,Sold,,,https://www.redfin.com/CA/San-Francisco/255-Berry-St-94158/unit-506/home/1242585,San Francisco MLS,422690960,N,Y,37.7743869,-122.3947812,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
757,PAST SALE,April-1-2022,Condo/Co-op,731 47th Ave #2,San Francisco,CA,94121,1218000.0,2.0,1.0,San Francisco,1136.0,2374.0,1929.0,,1072.0,400.0,Sold,,,https://www.redfin.com/CA/San-Francisco/731-47th-Ave-94121/unit-2/home/11743527,San Francisco MLS,422627394,N,Y,37.7745597,-122.5083888,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
758,PAST SALE,June-15-2022,Condo/Co-op,2918 Van Ness Ave #2,San Francisco,CA,94109,1800000.0,2.0,2.0,San Francisco,1470.0,2889.0,1987.0,,1224.0,400.0,Sold,,,https://www.redfin.com/CA/San-Francisco/2918-Van-Ness-Ave-94109/unit-2/home/1434224,San Francisco MLS,422655029,N,Y,37.8026716,-122.4244863,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
759,PAST SALE,May-20-2022,Vacant Land,112 Kensington Way,San Francisco,CA,94127,1046850.0,,,San Francisco,,4100.0,,,,,Sold,,,https://www.redfin.com/CA/San-Francisco/112-Kensington-Way-94127/home/12402549,San Francisco MLS,422642189,N,Y,37.741499,-122.459877,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
760,PAST SALE,March-7-2023,Single Family Residential,1447 Quesada Ave,San Francisco,CA,94124,900000.0,2.0,1.0,Bayview,1075.0,2500.0,1931.0,,837.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/1447-Quesada-Ave-94124/home/1149331,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41018627,N,Y,37.7306081,-122.3869653,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
761,PAST SALE,October-31-2022,Single Family Residential,761 Brunswick St,San Francisco,CA,94112,1038000.0,3.0,1.0,San Francisco,1165.0,4440.0,1924.0,,891.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/761-Brunswick-St-94112/home/799098,San Francisco MLS,422696830,N,Y,37.70917358930644,-122.44731085514512,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
762,PAST SALE,September-21-2022,Single Family Residential,1638 19th Ave,San Francisco,CA,94122,610000.0,3.0,1.5,San Francisco,1630.0,2247.0,1931.0,,374.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/1638-19th-Ave-94122/home/1173859,San Francisco MLS,422691411,N,Y,37.7572424,-122.4763669,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
763,PAST SALE,September-2-2022,Single Family Residential,2123 41st Ave,San Francisco,CA,94116,1560000.0,2.0,1.0,San Francisco,,3000.0,1947.0,,,,Sold,,,https://www.redfin.com/CA/San-Francisco/2123-41st-Ave-94116/home/1138242,San Francisco MLS,422682560,N,Y,37.7471138,-122.4998675,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
764,PAST SALE,March-22-2022,Single Family Residential,4540 19th St,San Francisco,CA,94114,7450000.0,5.0,4.5,San Francisco,4468.0,2926.0,2018.0,,1667.0,,Sold,,,https://www.redfin.com/CA/San-Francisco/4540-19th-St-94114/home/1629421,San Francisco MLS,422635843,N,Y,37.7591472,-122.4399783,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
765,PAST SALE,August-3-2022,Condo/Co-op,1145 Green St #6,San Francisco,CA,94109,1050000.0,1.0,1.0,San Francisco,,4498.0,1915.0,,,666.0,Sold,,,https://www.redfin.com/CA/San-Francisco/1145-Green-St-94109/unit-6/home/62171821,San Francisco MLS,422676661,N,Y,37.7981756,-122.4180789,"{'agent_soup': None, 'list_soup': None, 'bought_soup': None}",,,,,,,,,,
