SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-13-2022,Condo/Co-op,2360 Union St #1,San Francisco,CA,94123,2400000,2,2.0,San Francisco,1736,3781,1922,,1382,759,Sold,,,https://www.redfin.com/CA/San-Francisco/2360-Union-St-94123/unit-1/home/178937051,San Francisco MLS,422644664,N,Y,37.7970058,-122.4382086
PAST SALE,,Multi-Family (2-4 Unit),1722-1724 Pierce St #1724,San Francisco,CA,94115,2400000,9,3.0,,4490,5156,1900,,535,,,,,https://www.redfin.com/CA/San-Francisco/1722-1724-Pierce-St-94115/unit-1724/home/575912,,,N,Y,37.7861277,-122.4362891
PAST SALE,,Multi-Family (5+ Unit),2120 Great Hwy,San Francisco,CA,94116,2675000,4,4.0,,3450,2382,1924,,775,,,,,https://www.redfin.com/CA/San-Francisco/2120-Great-Hwy-94116/home/1368783,,,N,Y,37.7468046,-122.5074162
PAST SALE,,Single Family Residential,969 Page St Unit 969A,San Francisco,CA,94117,1949000,3,4.0,,2215,1875,1890,,880,,,,,https://www.redfin.com/CA/San-Francisco/969-Page-St-94117/unit-969A/home/1915559,,,N,Y,37.7720934,-122.4366151
PAST SALE,,Single Family Residential,736 36th Ave,San Francisco,CA,94121,1720000,3,1.0,,1470,3000,1923,,1170,,,,,https://www.redfin.com/CA/San-Francisco/736-36th-Ave-94121/home/618132,,,N,Y,37.7750608,-122.495997
PAST SALE,,Single Family Residential,124 Saturn St,San Francisco,CA,94114,1511000,2,1.0,,1250,2622,1900,,1209,,,,,https://www.redfin.com/CA/San-Francisco/124-Saturn-St-94114/home/1230049,,,N,Y,37.7627893,-122.4433943
PAST SALE,,Multi-Family (2-4 Unit),1274 21st Ave,San Francisco,CA,94122,2650000,9,5.0,,4423,3000,1983,,599,,,,,https://www.redfin.com/CA/San-Francisco/1274-21st-Ave-94122/home/1992407,,,N,Y,37.763972,-122.478973
PAST SALE,,Single Family Residential,870 48th Ave,San Francisco,CA,94121,1600000,,2.0,,1478,3088,1922,,1083,,,,,https://www.redfin.com/CA/San-Francisco/870-48th-Ave-94121/home/1041613,,,N,Y,37.7720226,-122.508654
PAST SALE,,Single Family Residential,2239 38th Ave,San Francisco,CA,94116,1246000,,1.0,,1282,2996,1945,,972,,,,,https://www.redfin.com/CA/San-Francisco/2239-38th-Ave-94116/home/972144,,,N,Y,37.7451116,-122.4964633
PAST SALE,,Condo/Co-op,201 Valencia St #2,San Francisco,CA,94103,1200000,3,2.0,,1630,,1980,,736,,,,,https://www.redfin.com/CA/San-Francisco/201-Valencia-St-94103/unit-2/home/1102591,,,N,Y,37.769735,-122.422071
PAST SALE,,Condo/Co-op,121 3rd Ave,San Francisco,CA,94118,2310000,3,2.0,,1520,,1900,,1520,,,,,https://www.redfin.com/CA/San-Francisco/121-3rd-Ave-94118/home/1635548,,,N,Y,37.786318,-122.461767
PAST SALE,,Condo/Co-op,135 Cook St Unit B,San Francisco,CA,94118,1100000,2,2.0,,771,,1900,,1427,,,,,https://www.redfin.com/CA/San-Francisco/135-Cook-St-94118/unit-B/home/169567038,,,N,Y,37.7812892,-122.4522749
PAST SALE,,Single Family Residential,81 Beaumont Ave,San Francisco,CA,94118,2150000,5,4.0,,4580,2188,2001,,469,,,,,https://www.redfin.com/CA/San-Francisco/81-Beaumont-Ave-94118/home/593190,,,N,Y,37.7805926,-122.4552262
PAST SALE,,Condo/Co-op,301 Mission St Unit 23A,San Francisco,CA,94105,1125000,2,2.0,,1479,,2009,,761,,,,,https://www.redfin.com/CA/San-Francisco/301-Mission-St-94105/unit-23A/home/40142425,,,N,Y,37.7903824,-122.3961531
PAST SALE,,Multi-Family (2-4 Unit),419-421 Lawton St #421,San Francisco,CA,94122,2880000,6,5.0,,3641,2500,1987,,791,,,,,https://www.redfin.com/CA/San-Francisco/419-421-Lawton-St-94122/unit-421/home/1789642,,,N,Y,37.7581338,-122.4674244
PAST SALE,,Single Family Residential,1670 Greenwich St,San Francisco,CA,94123,5950000,5,0.0,,4900,2500,1947,,1214,,,,,https://www.redfin.com/CA/San-Francisco/1670-Greenwich-St-94123/home/1571599,,,N,Y,37.8002926,-122.4271901
PAST SALE,,Single Family Residential,1791 43rd Ave,San Francisco,CA,94122,926500,2,1.0,,1032,2007,1945,,898,,,,,https://www.redfin.com/CA/San-Francisco/1791-43rd-Ave-94122/home/641351,,,N,Y,37.7533271,-122.5024551
PAST SALE,,Single Family Residential,1547 23rd Ave,San Francisco,CA,94122,2115000,2,2.0,,1750,3000,1937,,1209,,,,,https://www.redfin.com/CA/San-Francisco/1547-23rd-Ave-94122/home/1333238,,,N,Y,37.7587484,-122.4814125
PAST SALE,,Condo/Co-op,300 Berry St #523,San Francisco,CA,94158,1150000,2,2.0,,965,41861,2009,,1192,,,,,https://www.redfin.com/CA/San-Francisco/300-Berry-St-94158/unit-523/home/23455273,,,N,Y,37.773892,-122.396231
PAST SALE,,Single Family Residential,601 Visitacion Ave,San Francisco,CA,94134,1090000,2,1.0,,1600,1873,1939,,681,,,,,https://www.redfin.com/CA/San-Francisco/601-Visitacion-Ave-94134/home/790448,,,N,Y,37.7105887,-122.4054868
PAST SALE,,Single Family Residential,157 Ulloa St,San Francisco,CA,94127,1400000,,2.0,,1450,2822,1937,,966,,,,,https://www.redfin.com/CA/San-Francisco/157-Ulloa-St-94127/home/1878574,,,N,Y,37.7437606,-122.4553268
PAST SALE,,Multi-Family (2-4 Unit),1414 28th Ave,San Francisco,CA,94122,1270000,,2.0,,2010,1149,1940,,632,,,,,https://www.redfin.com/CA/San-Francisco/1414-28th-Ave-94122/home/1733003,,,N,Y,37.7609288,-122.4863952
